venue_name,month,day,year,lat,lon,formatted_address,city,state,country,country_code
house party,,,1987,46.975371,-123.815722,"Aberdeen, WA, United States of America",Aberdeen,Washington,United States,us
17 Nussbaum Road,3,,1987,46.6864843,-123.732946,"Raymond, WA 98577, United States of America",Raymond,Washington,United States,us
Community World Theater,4,18,1987,47.2455013,-122.438329,"Tacoma, WA, United States of America",Tacoma,Washington,United States,us
GESCCO,5,1,1987,47.0451022,-122.8950075,"Olympia, WA, United States of America",Olympia,Washington,United States,us
KAOS Olympia Community Radio,5,6,1987,47.0451022,-122.8950075,"Olympia, WA, United States of America",Olympia,Washington,United States,us
Community World Theater,6,27,1987,47.2455013,-122.438329,"Tacoma, WA, United States of America",Tacoma,Washington,United States,us
Community World Theater,8,9,1987,47.2455013,-122.438329,"Tacoma, WA, United States of America",Tacoma,Washington,United States,us
The Witch House (house party),,,1988,47.0451022,-122.8950075,"Olympia, WA, United States of America",Olympia,Washington,United States,us
Community World Theater,1,23,1988,47.2455013,-122.438329,"Tacoma, WA, United States of America",Tacoma,Washington,United States,us
The Caddyshack (house party),3,,1988,47.0451022,-122.8950075,"Olympia, WA, United States of America",Olympia,Washington,United States,us
Community World Theater,3,19,1988,47.2455013,-122.438329,"Tacoma, WA, United States of America",Tacoma,Washington,United States,us
The Central Tavern,4,10,1988,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
The Vogue (Sub Pop Sunday),4,24,1988,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
The Glass House (house party),5,14,1988,47.0451022,-122.8950075,"Olympia, WA, United States of America",Olympia,Washington,United States,us
The Evergreen State College,5,21,1988,47.0451022,-122.8950075,"Olympia, WA, United States of America",Olympia,Washington,United States,us
The Vogue,5,27,1988,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
The Central Tavern (Toe Jam '88),6,2,1988,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
Hal Holmes Community Center,6,17,1988,46.9970635,-120.545122,"Ellensburg, WA 98926, United States of America",Ellensburg,Washington,United States,us
The Vogue (Sub Pop Sunday),7,3,1988,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
The Central Tavern,7,23,1988,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
Squid Row Tavern,7,30,1988,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
Capitol Lake Park (Capitol Lake Jam),8,20,1988,47.0451022,-122.8950075,"Olympia, WA, United States of America",Olympia,Washington,United States,us
The Vogue,8,29,1988,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
birthday party,10,,1988,47.6262688,-122.5209429,"Bainbridge Island, WA 98110, United States of America",Bainbridge Island,Washington,United States,us
Union Station,10,28,1988,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
"Dorm K208, The Evergreen State College (dorm party)",10,30,1988,47.0451022,-122.8950075,"Olympia, WA, United States of America",Olympia,Washington,United States,us
Speedy O'Tubbs Rhythmic Underground,11,23,1988,48.7544012,-122.478836,"Bellingham, WA, United States of America",Bellingham,Washington,United States,us
The Underground,12,1,1988,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
Eagles Hall/FoE Aerie 252,12,21,1988,46.980929,-123.889335,"Hoquiam, WA 98550, United States of America",Hoquiam,Washington,United States,us
The Underground,12,28,1988,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
Satyricon,1,6,1989,45.5202471,-122.674194,"Portland, OR, United States of America",Portland,Oregon,United States,us
Satyricon,1,21,1989,45.5202471,-122.674194,"Portland, OR, United States of America",Portland,Oregon,United States,us
"Dorm K208, The Evergreen State College (dorm party)",2,,1989,47.0451022,-122.8950075,"Olympia, WA, United States of America",Olympia,Washington,United States,us
Covered Wagon Saloon,2,10,1989,37.7790262,-122.419906,"San Francisco, CA, United States of America",San Francisco,California,United States,us
Marsugi's,2,11,1989,37.3361663,-121.890591,"San Jose, CA, United States of America",San Jose,California,United States,us
"East Ballroom, Husky Union Building, University of Washington",2,25,1989,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
Reko/Muse,4,1,1989,47.0451022,-122.8950075,"Olympia, WA, United States of America",Olympia,Washington,United States,us
Annex Theatre,4,7,1989,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
The Vogue,4,26,1989,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
"Lindbloom Student Center, Green River Community College",5,26,1989,47.3075369,-122.2301808,"Auburn, WA, United States of America",Auburn,Washington,United States,us
Moore Theater (Lame Fest),6,9,1989,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
The Blue Gallery,6,10,1989,45.5202471,-122.674194,"Portland, OR, United States of America",Portland,Oregon,United States,us
The Vogue,6,21,1989,47.6038321,-122.330062,"Seattle, WA, United States of America",Seattle,Washington,United States,us
